Rakovice;482;279;57,88;278;276
Ratnovce;844;413;48,93;413;412
Sokolovce;1 106;561;50,72;561;557
Sipkove;264;144;54,54;144;143
Sterusy;410;210;51,21;210;207
Trebatice;1 089;590;54,17;590;589
Velke Kostolany;2 283;1 066;46,69;1 066;1 061
Velke Orviste;885;417;47,11;416;413
Vesele;975;510;52,3;510;504
Vrbove;4 842;2 521;52,06;2 518;2 508
Bilkove Humence;170;97;57,05;97;96
Borsky Mikulas;3 259;1 456;44,67;1 456;1 449
Borsky Svaty Jur;1 327;572;43,1;572;569
Cerova;958;570;59,49;570;568
Cary;1 021;430;42,11;430;428
Castkov;476;311;65,33;311;304
Dojc;1 002;526;52,49;526;513
Hlboke;778;424;54,49;424;424
Hradiste pod Vratnom;580;333;57,41;333;332
Jablonica;1 858;908;48,86;908;905
Kovalov;576;339;58,85;339;339
Kuklov;626;180;28,75;180;179
Kuty;3 991;2 151;53,89;2 151;2 128
Laksarska Nova Ves;936;433;46,26;433;431
Moravsky Svaty Jan;1 801;933;51,8;933;928
Osuske;487;192;39,42;192;191
Plavecky Peter;510;264;51,76;264;264
Podbranc;524;300;57,25;300;298
Prietrz;614;358;58,3;358;356
Prievaly;810;466;57,53;466;463
Rohov;348;148;42,52;148;147
Rovensko;350;236;67,42;236;233
Rybky;346;207;59,82;207;207
Sekule;1 436;738;51,39;738;733
Senica;16 558;7 941;47,95;7 941;7 904
Smolinske;749;448;59,81;448;444
Smrdaky;539;344;63,82;344;342
Sobotiste;1 237;731;59,09;731;727
Sajdikove Humence;920;454;49,34;454;450
Sastin - Straze;4 122;1 826;44,29;1 826;1 819
Stefanov;1 300;620;47,69;620;613
Brodske;1 945;834;42,87;834;828
Dubovce;522;301;57,66;301;301
Gbely;4 202;2 047;48,71;2 047;2 040
Holic;9 233;4 545;49,22;4 544;4 511
Chropov;302;180;59,6;180;179
Katov;515;286;55,53;286;285
Kopcany;2 056;958;46,59;958;957
Kovalovec;126;81;64,28;81;80
Letnicie;413;253;61,25;253;252
Lopasov;257;191;74,31;191;191
Mokry Haj;584;325;55,65;325;323
Oreske;307;228;74,26;228;228
Petrova Ves;870;499;57,35;499;497
Popudinske Mocidlany;749;376;50,2;376;374
Prietrzka;409;256;62,59;256;254
